Timestamp,GPS_Position_X,GPS_Position_Y,GPS_Position_Z,LEO_Position_X,LEO_Position_Y,LEO_Position_Z,PRN,Latitude,Longitude,Absolute_STEC,Elevation_Angle,date,LT
63530627544000.0,-14412413.05724411,-7078329.368668614,-21023528.440741424,28939.4549774721,-310667.583072798,-6822515.12634634,2,-87.3815293764903,-84.67811409051615,16.277117552707374,42.52119547357386,2013-03-17 04:32:19,22.8934035050767
63530627544000.0,-12527574.363860978,-11637151.707167469,-20704359.157359567,28939.4549774721,-310667.583072798,-6822515.12634634,10,-87.3815293764903,-84.67811409051615,16.60811090880766,40.91640806695203,2013-03-17 04:32:19,22.8934035050767
63530627554000.0,-14407564.765666932,-7105049.98866489,-21018400.509958617,63492.6487825589,-378458.73758238,-6818955.69745409,2,-86.7789849759591,-80.47638328791473,16.657749754519138,42.44215966360773,2013-03-17 04:32:29,23.176296669694572
63530627554000.0,-8775397.471673388,-19010820.179375883,-16455742.077563802,63492.6487825589,-378458.73758238,-6818955.69745409,4,-86.7789849759591,-80.47638328791473,18.583333513037818,27.673361433018165,2013-03-17 04:32:29,23.176296669694572
63530627554000.0,-12503511.335138746,-11645959.310445823,-20713673.644647647,63492.6487825589,-378458.73758238,-6818955.69745409,10,-86.7789849759591,-80.47638328791473,17.51100662491518,41.130388137198345,2013-03-17 04:32:29,23.176296669694572
63530627554000.0,12460913.66577519,-9263102.364256388,-21519133.459485143,63492.6487825589,-378458.73758238,-6818955.69745409,23,-86.7789849759591,-80.47638328791473,16.464091175026862,46.181792337528144,2013-03-17 04:32:29,23.176296669694572
63530627554000.0,-3529879.303362476,16299517.652521793,-20625273.913617823,63492.6487825589,-378458.73758238,-6818955.69745409,29,-86.7789849759591,-80.47638328791473,17.876164240478293,35.763666541502445,2013-03-17 04:32:29,23.176296669694572
63530627554000.0,17346090.873466212,6680120.368042541,-19315276.464231446,63492.6487825589,-378458.73758238,-6818955.69745409,30,-86.7789849759591,-80.47638328791473,19.327080368823495,33.0330625616009,2013-03-17 04:32:29,23.176296669694572
63530627554000.0,9133432.39772048,16464689.089968396,-18436452.1506988,63492.6487825589,-378458.73758238,-6818955.69745409,31,-86.7789849759591,-80.47638328791473,19.42833291089365,28.706162248599576,2013-03-17 04:32:29,23.176296669694572
63530627564000.0,-3549606.8003778746,16282103.795106469,-20635567.80345404,97939.1194415494,-446253.320966643,-6814545.49710374,29,-86.16440275967048,-77.6215614265171,18.881109323747527,35.07613891229914,2013-03-17 04:32:39,23.36939590489886
63530627564000.0,9127157.015526013,16487709.519952027,-18418872.847607877,97939.1194415494,-446253.320966643,-6814545.49710374,31,-86.16440275967048,-77.6215614265171,21.059553422101434,28.21080291639199,2013-03-17 04:32:39,23.36939590489886
63530627564000.0,12481410.52516433,-9244848.500932844,-21515497.041320026,97939.1194415494,-446253.320966643,-6814545.49710374,23,-86.16440275967048,-77.6215614265171,14.558514786888134,46.84106674644875,2013-03-17 04:32:39,23.36939590489886
63530627564000.0,17325092.254447494,6691381.403075336,-19330518.444331337,97939.1194415494,-446253.320966643,-6814545.49710374,30,-86.16440275967048,-77.6215614265171,18.88144450670663,33.112636784934296,2013-03-17 04:32:39,23.36939590489886
63530627564000.0,-8769357.145898554,-19030598.848732308,-16435463.631580736,97939.1194415494,-446253.320966643,-6814545.49710374,4,-86.16440275967048,-77.6215614265171,16.89858240102028,28.046458974842025,2013-03-17 04:32:39,23.36939590489886
63530627564000.0,-14402732.095482092,-7131766.155812546,-21013227.32084792,97939.1194415494,-446253.320966643,-6814545.49710374,2,-86.16440275967048,-77.6215614265171,17.589358156894267,42.35512645717554,2013-03-17 04:32:39,23.36939590489886
63530627564000.0,-12479442.071177924,-11654784.239126652,-20722945.482257698,97939.1194415494,-446253.320966643,-6814545.49710374,10,-86.16440275967048,-77.6215614265171,16.162233505236472,41.336938303548465,2013-03-17 04:32:39,23.36939590489886
63530627574000.0,17304083.437955886,6702662.787652993,-19345720.422242593,132274.601033098,-514042.778170373,-6809285.10425733,30,-85.54276656602963,-75.56959084108557,17.133591815708794,33.181026426897404,2013-03-17 04:32:49,23.508971721705407
63530627574000.0,-3569354.0043751555,16264692.605895912,-20645817.61259644,132274.601033098,-514042.778170373,-6809285.10425733,29,-85.54276656602963,-75.56959084108557,19.434651871232646,34.38919907434703,2013-03-17 04:32:49,23.508971721705407
63530627574000.0,12501914.01919437,-9226609.735746318,-21511814.72544658,132274.601033098,-514042.778170373,-6809285.10425733,23,-85.54276656602963,-75.56959084108557,12.092813979621575,47.49621674966496,2013-03-17 04:32:49,23.508971721705407
63530627574000.0,9120900.173280291,16510711.948477576,-18401253.416876078,132274.601033098,-514042.778170373,-6809285.10425733,31,-85.54276656602963,-75.56959084108557,21.498577197729183,27.710111987647338,2013-03-17 04:32:49,23.508971721705407
